data,Name,Games,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal
Season_17,D. Stephens,36,3.05,1.8,1.86,1.63,0,0,0.18,0.47,0
Season_17,J. Hogg,30,3.73,2.57,2.81,2.16,0,0.04,0,0.48,0
Season_17,J. Allen,36,3.34,2.16,2.02,1.98,0,0,0.28,0.31,0
Season_17,C. Schindler,37,2.48,1.82,2.24,1.91,8.2,0.03,0.21,0.89,0
Season_17,A. Mooy,36,3.1,1.82,1.16,1.31,1.58,0,0.12,0.15,0
Season_17,M. Diamé,31,4.69,3.37,2.53,2.42,0,0,0.16,0.37,0
Season_17,C. Azpilicueta,37,2.39,1.76,1.61,1.91,4.03,0,0.03,0.66,0
Season_17,L. Milivojevic,36,2.82,1.73,2.36,1.89,2.69,0,0.27,0.4,0
Season_17,E. Pieters,31,2.6,1.72,2.2,3.33,4.65,0,0.18,0.92,0
Season_17,A. Doucouré,37,2.49,1.64,1.7,1.54,0,0,0.31,0.31,0
Season_17,J. Ayew,35,2.6,1.9,0.76,1.46,0,0.03,0,0.1,0
Season_17,Y. Cabaye,31,2.69,1.69,3.04,1.85,0,0,0.27,0.15,0
Season_17,G. Xhaka,38,2.27,1.66,1.08,0.99,0,0,0.29,0.26,0
Season_17,N. Matic,36,2.2,1.32,2.01,1.76,1.94,0,0.19,0.41,0
Season_17,D. Pröpper,35,2.41,1.45,1.94,1.55,0,0.03,0,0.36,0
Season_17,L. Dunk,38,1.95,0.98,2.07,2.37,6.8,0,0.21,1.72,0
Season_17,E. Can,26,3.23,2.6,1.35,1.78,0,0,0.39,0.19,0
Season_17,C. Kouyaté,33,2.29,1.58,1.03,1.22,1.8,0,0.16,0.35,0
Season_17,A. Hegazi,38,1.71,1.12,1.77,1.86,8.2,0,0.12,1.09,0
Season_17,H. Maguire,38,1.77,1.29,1.35,1.13,5.09,0,0.2,0.79,0
Season_17,Zanka,38,1.58,1.03,2.18,1.63,7.13,0,0.17,0.57,0
Season_17,W. Hoedt,28,2.37,2.01,1.58,1.46,6.99,0,0.28,0.67,0
Season_17,S. Mustafi,27,2.86,2.06,2.55,1.21,7.82,0,0.27,0.67,0
Season_17,J. Vertonghen,36,1.93,1.23,1.81,1.08,5.36,0,0.12,0.33,0
Season_17,J. Livermore,33,2.76,1.57,1,2,0,0,0.19,0.35,0
Season_17,E. Dier,34,2.11,1.49,1.62,1.49,3.18,0,0.14,0.38,0
Season_17,R. Firmino,37,2.34,1.8,0.65,1.48,0,0,0.04,0.07,0
Season_17,C. Fàbregas,32,2.99,2.15,0.97,1.23,0,0.04,0,0.18,0
Season_17,K. Zouma,34,1.78,1.36,2.18,2,8.74,0,0.04,0.79,0
Season_17,J. Cork,38,1.8,1.34,1.22,1.25,2.62,0,0.21,0.46,0
Season_17,J. McArthur,32,2.4,1.82,1.49,1.9,0,0,0.21,0.08,0
Season_17,H. Bellerín,35,1.73,1.31,0.7,1.79,2.7,0,0.15,0.24,0
Season_17,Richarlison,37,2.29,1.57,0.86,1.46,0,0,0.14,0.18,0
Season_17,A. Valencia,31,2.07,1.16,1.74,2.43,2.9,0,0.25,0.22,0
Season_17,N. Otamendi,34,1.99,1.48,1.65,0.96,0,0,0.31,0.34,0
Season_17,Fernandinho,34,2.05,1.16,1.56,1.36,2.25,0,0.23,0.2,0
Season_17,M. Schneiderlin,30,2.54,1.75,2.67,0.79,0,0.04,0,0.31,0
Season_17,M. Lowton,26,2.47,1.53,1.75,2.88,6.34,0,0.04,0.67,0
Season_17,K. De Bruyne,37,1.97,1.34,0.82,1.54,0,0,0.07,0.07,0
Season_17,N. Aké,38,1.67,1.01,1.55,2.02,7.73,0,0.16,0.76,0
Season_17,M. Noble,29,2.32,1.37,1.79,1.44,0,0,0.23,0.38,0
Season_17,T. Bakayoko,29,2.76,1.77,1.6,1.08,0,0.04,0,0.26,0
Season_17,A. Townsend,36,1.94,1.1,1.13,1.81,0,0,0.1,0.03,0
Season_17,D. Yedlin,34,2.01,1.19,1.62,2.05,4.14,0,0.18,0.25,0
Season_17,J. Gomez,23,2.78,2.15,1.63,1.34,2.73,0,0.14,0.38,0
Season_17,L. Cook,28,3.42,1.79,1.73,1.89,0,0,0.26,0.61,0
Season_17,J. Milner,31,3.51,2.72,1.27,2.06,0,0,0.18,0.3,0
Season_17,M. Merino,23,4.06,2.9,2.46,2.83,0,0,0.29,0.58,0
Season_17,M. Alonso,33,1.83,1.18,1.68,1.86,0,0,0.21,0.18,0
Season_17,C. Martina,21,3.57,2.05,2.46,1.76,7.62,0,0.06,0.23,0
Season_17,A. Nyom,29,2.69,1.62,1.15,1.37,3.98,0,0.3,0.43,0
Season_17,A. Young,29,2.08,1.26,2.24,1.49,3.38,0,0.28,0.2,0
Season_17,A. Smith,27,2.48,1.77,1.57,3.18,3.69,0,0.3,0.4,0
Season_17,N. Monreal,28,2.2,1.3,2.28,1.46,3.38,0,0.12,0.33,0
Season_17,S. Francis,32,1.85,1.28,1.81,1.74,0,0.04,0,0.68,0
Season_17,C. Soares,32,1.86,1.17,0.83,2.03,3.76,0,0.1,0.28,0
Season_17,J. Schlupp,24,3.43,2.17,1.45,2.83,4.04,0,0.18,0.48,0
Season_17,S. March,34,2.78,2.11,0.67,2.42,0,0,0.15,0.15,0
Season_17,M. Lemina,25,3.22,2.34,2.16,1.23,2.11,0,0.12,0.35,0
Season_17,R. Bertrand,35,1.5,1.09,1.34,1.31,2.31,0,0.06,0.28,0
Season_17,A. Masuaku,27,2.81,1.79,1.26,1.45,0,0,0.24,0.1,0
Season_17,C. Daniels,35,1.65,1.16,1.09,1.94,4.05,0,0,0.21,0
Season_17,J. Tarkowski,31,1.74,0.99,1.86,2.24,8.57,0,0.19,1.63,0
Season_17,P. Obiang,21,3.03,1.94,1.37,2.57,0,0,0.17,0.91,0
Season_17,T. Carroll,37,1.95,1.22,1.07,1.47,0,0,0.11,0.29,0
Season_17,Ander,26,3.26,1.71,2,2,0,0,0.29,0.34,0
Season_17,J. Henderson,27,2.34,1.52,1.42,1.84,0,0,0.05,0.09,0
Season_17,M. Albrighton,33,1.96,1.25,1.02,1.55,0,0.04,0,0.15,0
Season_17,M. Ritchie,35,1.6,1.11,1.22,1.64,0,0,0.21,0.17,0
Season_17,P. van Aanholt,28,2.2,1.45,2.2,1.5,0,0,0.33,0.23,0
Season_17,S. Ward,28,1.69,1.35,1.78,2.22,5.43,0,0.04,0.52,0
Season_17,C. Eriksen,37,1.57,0.89,0.95,1.29,0.65,0,0,0.03,0
Season_17,J. Holebas,28,2.47,1.5,1.4,1.84,4.6,0,0.34,0.39,0
Season_17,J. Tomkins,28,2.01,1.11,2.69,1.11,9.19,0,0.34,0.51,0
Season_17,C. Fuchs,25,1.91,1.26,2.71,1.82,4.01,0,0.05,0.14,0
Season_17,C. Dawson,28,1.58,1.17,2.17,1.96,5.84,0,0.25,1.08,0
Season_17,S. Cook,34,1.42,0.73,2.08,2.73,8.74,0,0.19,1.77,0
Season_17,K. Gibbs,33,1.46,0.85,1.71,1.85,3.63,0,0.11,0.43,0
Season_17,B. Davies,29,2.03,1.42,1.21,1.38,2.98,0,0.13,0.22,0
Season_17,K. Trippier,23,2.57,1.48,0.99,1.92,2.62,0,0.05,0.3,0
Season_17,S. Kolasinac,27,2.26,1.7,1.2,0.83,2.58,0,0.14,0.14,0
Season_17,C. Smalling,29,1.59,0.99,2.5,1.39,6.43,0,0.16,1.11,0
Season_17,D. Tadic,36,1.51,0.95,0.62,1.64,0,0,0.13,0.07,0
Season_17,J. Kenny,19,2.7,2.17,1.84,2.57,0,0,0.13,0.46,0
Season_17,G. Bong,25,1.87,1.53,1.92,1.63,3.88,0,0.1,0.29,0
Season_17,D. Gosling,28,2.84,1.42,1.42,2.62,0,0,0.46,0.46,0
Season_17,K. Walker,32,1.69,1.12,1.04,1.04,0,0.04,0,0.07,0
Season_17,D. Simpson,28,1.59,0.92,1.42,2.89,5.53,0,0.17,0.8,0
Season_17,P. Højbjerg,23,2.52,1.57,2.08,1.8,0,0,0.34,0.17,0
Season_17,F. Fernández,30,1.41,1.02,1.34,1.34,7.09,0,0.18,0.95,0
Season_17,D. Janmaat,22,2.95,1.99,2.12,1.54,0,0,0.19,0.32,0
Season_17,A. Mariappa,27,2.45,1.41,2.45,1.58,7.23,0,0.22,0.87,0
Season_17,C. Kabasele,28,1.66,0.99,1.34,1.93,7.3,0,0.2,0.91,0
Season_17,M. Keane,30,1.33,1.01,2.13,1.89,8.61,0,0.12,1.13,0
Season_17,S. Duffy,37,0.96,0.59,1.55,2.2,10.24,0,0.25,1.83,0
Season_17,T. Fosu-Mensah,20,2.6,2.05,1.92,1.55,4.59,0,0.12,0.56,0
Season_17,D. Alli,36,1.54,1.01,0.64,1.24,0,0,0.23,0.23,0
Season_17,C. Löwe,23,2.57,1.73,2.03,1.85,0,0,0.06,0.48,0
Season_17,A. Ogbonna,32,0.98,0.79,1.9,1.51,6.47,0,0.1,0.89,0
Season_17,S. Aurier,17,3.54,1.99,2.29,1.92,0,0.07,0,0.07,0
Season_17,E. Choupo-Moting,29,1.88,1.34,1.03,1.61,0,0,0.13,0.18,0
Season_17,L. Koscielny,25,1.79,0.85,2.35,1.37,5.89,0,0.17,0.64,0
Season_17,G. Sigurdsson,27,1.82,1.24,1.63,2.06,1.72,0,0.1,0.34,0
Season_17,E. Capoue,23,2.94,1.78,2.94,1.64,0,0,0.21,0.07,0
Season_17,J. Ward,19,1.9,1.63,1.52,2.28,4.13,0,0.22,0.6,0
Season_17,J. Gudmundsson,35,1.51,0.93,1.22,1.11,1.47,0,0.07,0.04,0
Season_17,B. Ndiaye,13,6.47,3.42,1.59,2.69,0,0,0.61,1.1,0
Season_17,A. Cresswell,36,1.04,0.64,1.35,1.5,0,0,0.21,0.52,0
Season_17,G. Krychowiak,27,2.38,1.49,2.68,1.37,0,0,0.12,0.3,0
Season_17,S. Defour,24,1.58,1.06,2.21,2.02,0,0,0.29,0.34,0
Season_17,W. Morgan,32,1.2,0.86,1.06,1.51,5,0,0.14,0.93,0
Season_17,R. van La Parra,33,1.78,1.26,0.91,1.22,0,0.04,0,0.04,0
Season_17,B. Chilwell,24,2.02,1.46,1.57,2.24,0,0.06,0,0.22,0
Season_17,L. Fer,20,2.96,2.15,0.81,1.28,0,0,0.34,0.27,0
Season_17,D. Sánchez,31,1.44,0.91,1.44,1.1,0,0.04,0,0.38,0
Season_17,R. Shawcross,27,1.58,0.88,1.75,1.84,9.8,0,0.09,1.01,0
Season_17,D. Fletcher,27,2.03,1.12,1.12,0.65,1.42,0,0,0.13,0
Season_17,T. Smith,24,2.02,1.43,1.38,1.59,4.25,0,0.37,0.32,0
Season_17,A. Mawson,38,0.88,0.6,0.96,1.32,6.29,0,0.08,0.88,0
Season_17,V. Moses,28,1.81,1.42,0.73,1.81,0,0,0.15,0.2,0
Season_17,Danilo,22,2.84,1.92,1.26,1.32,0,0,0.13,0.4,0
Season_17,B. Mee,29,1.29,0.77,1.33,2.34,8.83,0,0.2,1.65,0
Season_17,T. Cleverley,23,2.37,1.28,1.23,0.64,0,0.05,0,0.05,0
Season_17,M. Olsson,36,1.02,0.78,0.93,1.05,0,0,0.21,0.12,0
Season_17,A. Knockaert,33,1.59,1.06,0.94,1.31,0,0.04,0,0.12,0
Season_17,A. Oxlade-Chamberlain,35,2.06,1.34,1.45,2.12,0,0,0.17,0.11,0
Season_17,C. Brunt,24,2.29,1.34,1.17,1.9,0,0,0.28,0.22,0
Season_17,A. Lennon,29,2.08,1.35,1.07,2.47,0,0,0.11,0.34,0
Season_17,J. Shelvey,30,1.67,1.03,1.2,1.32,0,0.09,0,0.21,0
Season_17,J. McClean,30,2.52,1.77,1.2,1.58,0,0,0.44,0.25,0
Season_17,J. Matip,24,1.77,1.22,1.77,1.57,5.12,0,0.15,0.76,0
Season_17,S. Malone,21,2.96,2.2,1.98,1.29,0,0,0.23,0.15,0
Season_17,K. Femenía,22,2.19,1.71,2.07,0.97,0,0,0.12,0.12,0
Season_17,P. Jagielka,24,1.61,1.12,1.9,1.56,8.72,0,0.1,0.97,0
Season_17,A. Pérez,35,1.53,0.82,0.98,1.53,0,0,0.12,0.04,0
Season_17,F. Lejeune,24,1.73,1.1,2.36,1.57,8.02,0,0.16,0.79,0
Season_17,T. Alexander-Arnold,19,2.57,1.74,1.94,1.88,3.19,0,0.21,0.35,0
Season_17,G. Cameron,19,2.73,1.69,2.98,2.82,5.47,0,0.16,0.64,0
Season_17,J. Evans,28,1.3,0.99,2.11,1.17,5.88,0,0.31,0.54,0
Season_17,M. van der Hoorn,24,1.49,1.02,1.82,1.3,5.91,0,0.19,0.65,0
Season_17,D. Rice,25,2.14,1.42,1.6,1.54,4.57,0,0.06,0.77,0
Season_17,A. Sánchez,31,1.49,0.94,0.83,0.51,0,0,0.18,0.07,0
Season_17,I. Hayden,26,2.44,1.4,1.4,1.47,0,0,0.43,0.37,0
Season_17,J. Manquillo,20,1.9,1.11,0.95,2.16,3.37,0,0.11,0.32,0
Season_17,J. Stephens,22,1.52,1.05,2.15,1.73,0,0.05,0,0.94,0
Season_17,A. Rüdiger,27,1.25,0.85,0.97,1.7,4.61,0,0.16,0.61,0
Season_17,M. Yoshida,24,1.18,0.87,1.79,1.53,0,0.04,0,0.61,0
Season_17,P. Groß,38,1.25,0.83,0.49,1.11,0,0,0.07,0.17,0
Season_17,A. Ramsey,24,1.84,1.42,1.26,0.73,0.31,0,0,0.16,0
Season_17,S. Clucas,28,1.45,0.81,1.23,1.49,0,0,0.09,0.3,0
Season_17,S. Arfield,18,2.84,2.05,0.95,2.05,0,0,0.24,0.08,0
Season_17,J. Lascelles,33,1.11,0.69,0.97,1.22,8.02,0,0.17,0.83,0
Season_17,A. Moreno,16,2.43,1.81,0.83,1.67,0,0,0.07,0.14,0
Season_17,G. Wijnaldum,32,1.31,0.88,0.96,0.81,0,0,0.04,0.08,0
Season_17,C. Yacob,16,4.6,3.45,2.04,1.79,0,0,0.64,0.77,0
Season_17,Bruno,24,1.37,0.78,1.74,1.51,0,0,0.14,0.5,0
Season_17,H. Mkhitaryan,26,1.97,1.43,0.89,1.73,0,0,0.12,0.12,0
Season_17,P. Dummett,20,1.91,1.37,1.57,2.87,7.31,0,0.07,0.68,0
Season_17,J. Rodriguez,36,1.11,0.75,0.68,1.32,1.46,0,0.07,0.07,0
Season_17,K. Long,16,2.22,1.59,1.32,1.87,8.94,0,0.07,0.97,0
Season_17,J. King,33,1.65,1.19,0.18,1.05,0,0,0.14,0.14,0
Season_17,D. Silva,29,1.4,0.96,0.79,1.27,0,0,0.22,0.22,0
Season_17,T. Kongolo,13,3.57,2.17,3.47,2.06,7.69,0,0,0.65,0
Season_17,P. Jones,23,1.11,0.8,1.82,1.29,5.91,0,0.09,0.76,0
Season_17,G. Cahill,27,1.26,0.91,1.17,1.08,0,0.04,0,0.61,0
Season_17,S. Boufal,24,2.64,1.72,0.43,1.43,0,0,0.07,0.07,0
Season_17,D. Lovren,28,1.16,0.76,1.7,1.34,6.53,0,0.18,0.67,0
Season_17,A. Robertson,22,1.78,0.98,1.49,1.66,0,0,0.11,0.11,0
Season_17,V. van Dijk,26,1.2,0.72,2.26,1.25,7.73,0,0.05,0.72,0
Season_17,A. Ayew,30,1.64,1.16,0.44,0.87,0,0,0.24,0.05,0
Season_17,T. Davies,33,1.6,1.07,1.28,1.23,0,0,0.37,0.27,0
Season_17,K. Wimmer,17,1.74,1.23,2.17,2.54,6.38,0,0.36,0.87,0
Season_17,M. Phillips,30,1.21,0.71,1.07,1.7,0,0,0.13,0.04,0
Season_17,G. Barry,25,1.63,0.88,0.7,1.02,0,0,0.19,0.56,0
Season_17,S. Davis,23,1.67,1.17,0.84,1.28,1.34,0,0,0.33,0
Season_17,W. Rooney,31,1.38,0.94,0.79,1.58,0,0,0.25,0.3,0
Season_17,R. Brady,15,2.23,1.53,0.63,1.39,0,0,0.21,0.21,0
Season_17,A. Christensen,27,1.31,0.65,1.91,1.46,5.48,0,0,0.85,0
Season_17,A. Wan-Bissaka,07,9.19,5.7,4.75,9.51,14.58,0,0.32,2.22,0
Season_17,E. Kachunga,19,2.17,1.88,0.14,1.16,0,0,0.07,0.07,0
Season_17,K. Sung-yueng,25,1.26,0.91,1.61,0.96,0,0,0.1,0.05,0
Season_17,A. Williams,24,1.36,0.77,2.12,2.01,0,0.06,0,1.36,0
Season_17,J. Lingard,32,1.56,1.09,0.47,1.09,0,0,0.1,0.16,0
Season_17,W. Hughes,14,3.54,1.88,1.56,1.67,0.63,0,0,0.1,0
Season_17,L. Sané,32,1.19,0.92,0.57,0.97,0,0,0.18,0.04,0
Season_17,S. Prödl,21,1.76,1.36,2.49,1.84,7.38,0,0.4,0.72,0
Season_17,J. Ward-Prowse,30,1.33,0.93,0.46,2.43,0,0,0.17,0.06,0
Season_17,V. Iborra,19,1.57,1.23,1.3,1.71,3.35,0,0,0.75,0
Season_17,V. Wanyama,17,3.8,2.53,1.27,1.65,0,0,0.25,0.38,0
Season_17,Kenedy,13,3.78,2.07,1.71,1.71,0,0,0.12,0.12,0
Season_17,A. Maitland-Niles,15,2.52,1.71,1.21,2.82,0,0,0.1,0.1,0
Season_17,L. Baines,22,1.34,0.7,1.34,1.45,3,0,0.05,0.32,0
Season_17,C. Clark,20,1.25,0.85,0.95,0.95,7.09,0,0.15,0.5,0
Season_17,B. Silva,32,1.64,1.09,0.61,1.15,0.73,0,0,0.06,0
Season_17,P. Bardsley,13,1.61,1.52,2.18,3.03,6.92,0,0.47,0.57,0
Season_17,C. Atsu,27,0.96,0.9,0.68,2.42,0,0,0.06,0.28,0
Season_17,S. Long,30,1.31,1.05,0.63,0.74,0,0,0.32,0.11,0
Season_17,F. Hadergjonaj,22,1.19,0.9,0.96,1.64,0,0,0.17,0.56,0
Season_17,M. Sakho,19,1.2,0.8,1.72,1.2,5.78,0,0.06,0.63,0
Season_17,R. Loftus-Cheek,23,1.06,0.76,1.11,1.21,0,0,0.05,0.1,0
Season_17,Joselu,29,1.16,0.9,0.58,1.43,0,0,0.11,0.11,0
Season_17,M. Suttner,13,1.87,1.17,1.01,2.1,3.81,0,0,0.16,0
Season_17,M. Holgate,15,2.03,1.41,2.03,1.41,7.57,0,0.26,0.79,0
Season_17,I. Gündogan,29,1.81,1.01,1.07,1.07,0,0,0.2,0.07,0
Season_17,M. Zeegelaar,12,1.98,1.55,1.73,0.86,0,0.09,0,0.09,0
Season_17,M. Bauer,15,2.14,1.52,1.07,1.52,0,0,0.36,0.09,0
Season_17,X. Shaqiri,36,0.88,0.6,0.56,0.39,0,0,0.18,0.04,0
Season_17,D. Williams,20,2.23,1.36,2.52,1.26,0,0,0.19,0.19,0
Season_17,M. Arnautovic,31,0.82,0.62,0.51,0.9,0,0.04,0,0.12,0
Season_17,C. Quaner,25,1.63,1.11,0.81,1.92,0,0,0.3,0.3,0
Season_17,A. Lacazette,32,0.95,0.67,0.28,0.79,0,0,0.04,0.12,0
Season_17,A. Surman,24,0.85,0.65,0.8,1.8,2.6,0,0.1,0.6,0
Season_17,A. King,22,1.81,1.11,0.77,0.84,0,0,0.14,0.14,0
Season_17,S. Okazaki,27,1.72,1.1,0.55,1.1,0,0,0.14,0.07,0
Season_17,Willian,36,1.25,0.97,0.57,0.8,0,0,0.06,0.06,0
Season_17,M. Sissoko,30,1.4,1.04,0.55,0.73,0,0,0.18,0.06,0
Season_17,R. Holding,12,2.14,1.58,2.37,1.92,0,0,0.34,1.13,0
Season_17,M. Indi,17,1.93,1.1,1.93,1.56,0,0,0.28,1.01,0
Season_17,H. Arter,13,1.89,1.59,0.99,1.89,0,0,0.4,0.5,0
Season_17,A. Barnes,35,0.92,0.61,0.09,1.18,0,0,0.44,0.22,0
Season_17,E. Schelotto,20,1.74,1.13,1.65,1.22,5.05,0,0.26,0.26,0
Season_17,A. Iwobi,26,0.97,0.77,0.36,1.08,0,0,0.05,0.05,0
Season_17,M. Lanzini,27,0.91,0.5,1.36,0.32,0,0,0.18,0.05,0
Season_17,A. Silva,12,2.62,1.55,1.67,1.43,0,0,0.36,0.24,0
Season_17,D. Zappacosta,21,2.37,1,0.55,1.64,2.37,0,0,0.18,0
Season_17,D. Luiz,10,1.86,1.14,2.49,1.35,0,0.1,0,0.52,0
Season_17,M. Özil,26,0.97,0.63,0.58,0.73,0,0,0.19,0.05,0
Season_17,M. Kelly,15,1.73,1.18,0.82,1.82,6.08,0,0.09,1,0
Season_17,E. Lamela,25,3.2,1.81,0.98,1.67,0,0,0.56,0.14,0
Season_17,L. Shaw,10,2.22,1.85,0.49,2.34,0,0,0.25,0.25,0
Season_17,S. Coleman,12,1.75,1.75,1.25,2.76,3.64,0,0,1.5,0
Season_17,E. Bailly,13,1.63,0.96,2.3,1.25,0,0,0.19,0.58,0
Season_17,V. Kompany,17,1.58,0.87,1.26,0.95,5.76,0,0.47,0.63,0
Season_17,W. Reid,17,0.63,0.52,1.26,1.72,5.97,0,0.29,0.8,0
Season_17,Pedro,31,1.33,0.73,0.86,0.93,0,0,0.07,0.07,0
Season_17,M. James,13,2,1.06,1.79,1.58,0,0,0.21,0.21,0
Season_17,C. Chambers,12,2.08,1.22,2.2,2.08,5.76,0,0.12,1.35,0
Season_17,Nilsson-Lindelöf,17,1.25,0.81,0.96,1.32,4.93,0,0.07,0.81,0
Season_17,T. Alderweireld,14,1.41,0.97,0.3,1.19,0,0,0.22,0.37,0
Season_17,E. Fernandes,13,1.93,1.02,1.82,1.93,0,0,0.11,0.11,0
Season_17,C. Mbemba,09,2.09,1.57,1.96,1.3,5.74,0,0,0.39,0
Season_17,G. Murray,35,0.86,0.57,0.24,0.76,0,0,0.43,0.19,0
Season_17,B. Kayal,17,2.51,1.53,1.67,1.67,0,0,0.28,0.56,0
Season_17,J. Stones,18,1.01,0.74,1.28,0.74,2.97,0,0,0.34,0
Season_17,A. Westwood,18,1.49,1.14,2.17,1.94,0,0,0.23,1.03,0
Season_17,A. Dragovic,10,1.55,1.2,1.91,2.39,0,0,0.24,0.96,0
Season_17,H. Winks,16,1.8,1.44,1.32,1.68,1.2,0,0,0.24,0
Season_17,H. Kane,36,0.52,0.37,0.15,0.46,0,0,0.15,0.12,0
Season_17,D. Rose,10,1.76,1.29,1.06,2,0,0,0.47,0.71,0
Season_17,J. Collins,13,1.57,0.94,1.67,1.57,12.56,0,0.31,1.05,0
Season_17,R. Klavan,19,0.84,0.6,0.9,0.84,5.09,0,0,0.3,0
Season_17,J. Stanislas,19,1.67,0.84,0.63,2.61,0,0,0.1,0.63,0
Season_17,R. Fraser,26,0.56,0.41,0.86,1.22,1.73,0,0,0.2,0
Season_17,C. Taylor,10,1.66,0.41,1.56,2.7,0,0,0.31,0.52,0
Season_17,M. Britos,10,1.7,1.25,1.36,1.13,0,0.11,0,0.11,0
Season_17,J. Hendrick,34,0.71,0.44,0.35,0.53,0,0,0.04,0.09,0
Season_17,T. Deeney,29,0.9,0.66,0.3,0.84,0,0.06,0,0.06,0
Season_17,M. Darmian,07,2.97,2.58,1.39,1.19,4.56,0,0,0.59,0
Season_17,M. Fellaini,16,2.17,1.16,2.03,1.88,0,0,0.14,0.43,0
Season_17,S. Field,08,2.68,1.96,1.96,1.25,0,0,0.54,0.18,0
Season_17,J. Vardy,37,0.45,0.27,0.06,0.63,0,0,0.09,0.03,0
Season_17,B. Watson,08,2.87,1.36,1.06,1.06,0,0,0.15,0.15,0
Season_17,L. Depoitre,31,0.67,0.38,0.52,0.76,0,0,0.05,0.14,0
Season_17,A. Martial,30,0.86,0.74,0.17,0.34,0,0,0.06,0.06,0
Season_17,D. Calvert-Lewin,32,0.83,0.44,0.55,0.77,0,0,0.22,0.06,0
Season_17,D. Drinkwater,11,2.55,1.7,1.36,1.7,1.19,0,0,0.34,0
Season_17,J. Wilshere,20,1.17,0.78,0.62,0.78,0,0,0.47,0.16,0
Season_17,S. Mounie,27,0.61,0.44,0.39,1.33,0,0,0.11,0.17,0
Season_17,S. Dann,17,0.67,0.34,1.55,1.21,6.6,0,0.27,0.94,0
Season_17,D. Gayle,35,0.65,0.55,0.33,0.87,0,0,0.16,0.11,0
Season_17,Morata,30,0.57,0.35,0.26,0.74,0,0,0.31,0.17,0
Season_17,T. Edwards,06,2.65,1.59,0.88,1.06,3.54,0,0,0.35,0
Season_17,J. Fonte,08,1.4,0.77,1.79,1.66,4.72,0,0,1.15,0
Season_17,J. Riedewald,10,2.73,1.99,2.98,1.99,3.23,0,0,0.25,0
Season_17,K. Stafylidis,05,12,6,5,15,19,0,0,2,0
Season_17,R. Sanches,12,1.5,0.88,0.88,1.25,0,0,0.13,0.13,0
Season_17,J. McCarthy,04,3.77,3.77,2.09,3.77,1.26,0,0,0.84,0
Season_17,N. Vlasic,12,1.4,0.78,1.4,2.34,1.56,0,0,0.31,0
Season_17,G. McAuley,09,1.32,1.15,1.81,1.32,2.63,0,0,0.66,0
Season_17,Chicharito,25,0.62,0.39,0.34,0.34,0,0,0.17,0.06,0
Season_17,C. Benteke,31,0.52,0.19,0.14,0.75,0,0,0.28,0.14,0
Season_17,H. Choudhury,08,1.98,1.1,1.76,2.63,0,0,0.22,0.22,0
Season_17,T. Abraham,28,0.55,0.44,0.05,0.44,0.6,0,0,0.05,0
Season_17,A. Laporte,09,1.08,0.94,1.48,0.4,0,0,0.13,0.13,0
Season_17,S. Byram,05,2.86,1.59,2.86,2.86,0,0,0.32,0.64,0
Season_17,C. Wilson,28,0.5,0.28,0.17,0.84,0.84,0,0,0.17,0
Season_17,K. Iheanacho,19,1.03,0.68,0.34,1.14,0,0,0.23,0.23,0
Season_17,M. Rojo,09,1.02,0.73,1.02,1.89,8.13,0,0.87,0.87,0
Season_17,N. Chalobah,06,1.71,1.14,1.14,1.14,0,0,0.19,0.95,0
Season_17,J. Pied,02,4.35,2.9,3.87,1.45,1.94,0,0,0.97,0
Season_17,G. Johnson,08,1.66,1.19,2.37,1.9,0,0,0.71,0.47,0
Season_17,D. Amartey,08,1.38,0.69,1.21,2.08,0,0.17,0,0.52,0
Season_17,M. Pugh,20,0,0,1.19,0,0,0,0.18,0.09,0
Season_17,C. Austin,23,0.59,0.42,0.08,1.27,0,0,0.17,0.25,0
Season_17,O. Niasse,21,0.83,0.5,0.17,0.25,0,0,0.17,0.17,0
Season_17,L. Mousset,21,1.59,0.88,0.53,1.06,0,0,0.18,0.35,0
Season_17,C. Cathcart,07,1.37,0.85,0.51,1.37,6.49,0,0.17,1.02,0
Season_17,T. Hemed,15,0.72,0.52,0.21,1.03,1.24,0,0,0.1,0
Season_17,R. Lukaku,34,0.24,0.14,0.1,0.35,0,0,0.14,0.07,0
Season_17,P. Aubameyang,13,0.61,0.49,0.37,1.71,0.85,0,0,0.12,0
Season_17,P. Evra,05,3.4,2.26,3.96,2.26,3.4,0,0,0.57,0
Season_17,D. Solanke,20,1.02,0.58,0.29,1.02,1.31,0,0,0.15,0
Season_17,C. Wood,24,0.46,0.2,0,0.79,0,0,0.07,0.26,0
Season_17,C. Tosun,14,0,0,0.14,0,1.78,0,0,0.55,0
Season_17,E. Mangala,10,0,0,0.44,0,4.09,0,0,0.44,0
Season_17,L. Britton,05,1.55,1.29,0.26,0.78,0,0,0.26,0.26,0
Season_17,H. Robson-Kanu,19,0.44,0.33,0.44,0.88,0,0.11,0,0.22,0
Season_17,W. Bony,15,0.6,0.48,0.24,0.48,0,0,0.24,0.12,0
Season_17,J. Bednarek,05,1.19,0.59,0.99,0.4,0,0,0.2,0.2,0
Season_17,M. Targett,02,3,1.5,1.5,2,3.5,0,0,1,0
Season_17,B. Baningime,08,2.77,0.92,0.92,2.77,0,0,0.46,0.46,0
