data,Name,Games,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal
Season_16,J. Fonte,13,3.77,2.62,6,3.85,13.69,0,0.31,1.85,0
Season_16,S. Davis,12,4.86,3.58,1.96,5.45,0,0,0.26,0.94,0
Season_16,S. Coleman,10,5.6,4.4,3.1,5.1,8.1,0,0.3,1.7,0
Season_16,S. Cook,14,3.36,2.29,5.5,4.14,24.93,0,0.36,2.79,0
Season_16,M. Albrighton,10,6.68,5.26,4.75,7.7,5.39,0,0.64,0.26,0
Season_16,R. Shawcross,12,4.08,3,4.92,4.58,18.92,0,0.5,2.67,0
Season_16,N. Matic,13,4.27,3.17,3.96,3.17,3.8,0,0.32,0.71,0
Season_16,C. Chambers,08,6.25,4.75,6.75,6,22.63,0,0.5,3.25,0
Season_16,V. Moses,12,6.7,5.47,5.88,7.11,8.34,0,0.55,0.96,0
Season_16,G. Cahill,13,4.18,3.09,3.71,2.71,12.99,0,0.39,1.55,0
Season_16,C. Davies,13,3.15,1.85,7.31,4.54,13.38,0,0.31,2.77,0
Season_16,W. Reid,10,3.45,2.94,9.33,5.99,26.99,0.1,0.91,2.54,0
Season_16,P. Pogba,12,4.4,3.32,2.99,3.16,0,0,0.58,0.33,0
Season_16,L. Fer,12,5.2,3.9,2.23,3.25,0,0,0.84,0.74,0
Season_16,J. Matip,12,4.17,3.17,4.33,2.08,12.75,0,0.25,1,0
Season_16,M. Fellaini,10,7.21,5.28,3.86,3.09,0,0.13,0,0.64,0
Season_16,D. Gosling,13,8.05,6.47,4.58,4.89,0,0,0.95,0.63,0
Season_16,G. Johnson,05,11.65,8.22,9.14,7.54,0,0,0.23,2.51,0
Season_16,J. McClean,11,7.78,5.8,2.55,4.39,0,0,1.27,0.42,0
Season_16,P. van Aanholt,12,3.97,2.95,5.63,3.6,6.18,0,0.28,0.83,0
Season_16,G. Cameron,07,7,5.43,4.57,5.43,0,0,0.14,2,0
Season_16,A. El. Mohamady,12,3.5,2.83,4.25,3.67,0,0.08,0,0.75,0
Season_16,D. Blind,10,4.95,3.66,4.73,4.52,12.58,0,0.22,0.97,0
