Data,Name,Games,passes completed,forward passes,backward passes,sideways passes,chances created,assists created,avg pass length,shots on target,shots off target
Attacking_18,L. Bonatini,07,0,0,0,0,0,0.14,0m,0,0
Attacking_18,K. Sema,06,0,0,0,0,0,0.33,0m,0,0
Attacking_18,C. Tosun,13,0,0,0,0,0,0.15,0m,0,0
Attacking_18,B. Reid,12,0,0,0,0,0,0.08,0m,0,0
Attacking_18,A. Lookman,10,0,0,0,0,0,0.1,0m,0,0
Attacking_18,I. Hayden,04,0,0,0,0,0,0.25,0m,0,0
Attacking_18,D. Welbeck,08,0,0,0,0,0,0.13,0m,0,0
Attacking_18,A. Gunnarsson,08,0,0,0,0,0,0,0m,0.25,0.38
Attacking_18,J. Matip,07,0,0,0,0,0,0,0m,0.29,0.14
Attacking_18,Jonny,12,0,0,0,0,0,0,0m,0.25,0
Attacking_18,H. Arter,13,0,0,0,0,0,0,0m,0.31,0
Attacking_18,A. Ogbonna,05,0,0,0,0,0,0,0m,0.6,0
Attacking_18,L. Balogun,05,0,0,0,0,0,0,0m,0.2,0
Attacking_18,S. Armstrong,12,0,0,0,0,0,0,0m,0.75,0
Attacking_18,R. Saïss,05,0,0,0,0,0,0,0m,0.2,0
Attacking_18,D. Amartey,09,0,0,0,0,0,0,0m,0.11,0
Attacking_18,O. Romeu,09,0,0,0,0,0,0,0m,0.22,0
Attacking_18,T. Ream,06,0,6.83,0,0,0.5,0,0m,0,0
Attacking_18,K. McDonald,09,0,8.33,0,0,0.44,0,0m,0,0.33
Attacking_18,L. Cook,13,0,6.85,0,0,0.15,0,0m,0,0.08
Attacking_18,M. Yoshida,05,0,5.8,0,0,0.4,0,0m,0,0.4
Attacking_18,C. Sánchez,05,0,0,0,0,0.4,0,0m,0,0
Attacking_18,O. Giroud,13,0,0,0,0,0,0.23,0m,0,0
Attacking_18,L. Depoitre,15,0,0,0,0,0,0.07,0m,0,0
Attacking_18,M. Obafemi,04,0,0,0,0,0,0.25,0m,0,0
Attacking_18,D. Calvert-Lewin,14,0,0,0,0,0,0.07,0m,0,0
Attacking_18,S. Okazaki,10,0,0,0,0,0,0.1,0m,0,0
Attacking_18,D. Origi,02,0,0,0,0,0,0.5,0m,0,0
Attacking_18,M. Montoya,08,0,0,0,0,0,0,0m,0.13,0
Attacking_18,J. Bryan,06,0,0,0,0,0,0,0m,0.33,0
Attacking_18,C. Clark,09,0,0,0,0,0,0,0m,0.33,0
Attacking_18,J. Hendrick,12,0,0,0,0,0,0,0m,0.33,0
Attacking_18,T. Fosu-Mensah,07,0,0,0,0,0,0,0m,0.14,0
Attacking_18,R. Bertrand,12,0,0,0,0,0,0,0m,0.17,0
Attacking_18,K. De Bruyne,03,0,0,0,0,0,0,0m,0.67,0
Attacking_18,V. Iborra,08,0,0,0,0,0,0,0m,0.13,0
Attacking_18,Y. Bissouma,14,0,0,0,0,0,0,0m,0.21,0
Attacking_18,L. Moura,15,0,0,0,0,0,0,0m,0.53,0
Attacking_18,A. Smith,12,0,0,0,0,0,0,0m,0.08,0
Attacking_18,P. Souaré,01,0,3,0,0,0,0,0m,0,0
Attacking_18,E. Bailly,06,0,4,0,0,0,0,0m,0,0
Attacking_18,S. Defour,06,0,0,0,0,0.33,0,0m,0,0
Attacking_18,A. Cresswell,07,0,0,0,0,1.43,0,0m,0,0.43
Attacking_18,D. Ings,11,0,0,0,0,0,0,0m,1.64,0
Attacking_18,D. Quina,02,0,0,0,0,0,0,0m,0.5,0
Attacking_18,J. Bacuna,02,0,0,0,0,0,0,0m,0.5,0
Attacking_18,A. Zambo Anguissa,11,0,0,0,0,0,0,0m,0.18,0
Attacking_18,J. Ward-Prowse,07,0,0,0,0,0,0,0m,0.71,0
Attacking_18,D. Jota,15,0,0,0,0,0,0,0m,0.73,0
Attacking_18,T. Davies,06,0,0,0,0,0,0,0m,0.17,0
Attacking_18,P. Dummett,10,0,0,0,0,0,0,0m,0,0.3
Attacking_18,M. Vorm,02,16.5,0,11.5,4.5,0,0,10.47m,0,0
Attacking_18,P. Jagielka,02,0,2,0,0,0,0,0m,0,0
Attacking_18,Bruno,08,0,7.75,0,0,0.38,0,0m,0,0.13
Attacking_18,G. Bong,12,0,0,0,0,0.42,0,0m,0,0
Attacking_18,R. Ghezzal,10,0,0,0,0,0,0,0m,0.4,0
Attacking_18,M. Elyounoussi,10,0,0,0,0,0,0,0m,0.6,0
Attacking_18,A. Kamara,08,0,0,0,0,0,0,0m,1.13,0
Attacking_18,J. Locadia,10,0,0,0,0,0,0,0m,0.6,0
Attacking_18,I. Success,16,0,0,0,0,0,0,0m,0.44,0
Attacking_18,C. Atsu,10,0,0,0,0,0,0,0m,1.1,0
Attacking_18,G. Cunningham,04,0,0,0,0,0,0,0m,0.25,0
Attacking_18,S. McTominay,06,0,0,0,0,0,0,0m,0.33,0
Attacking_18,R. Lukaku,15,0,0,0,0,0,0,0m,1.2,0
Attacking_18,D. Hoilett,13,0,0,0,0,0,0,0m,0.31,0
Attacking_18,C. Paterson,14,0,0,0,0,0,0,0m,0.43,0
Attacking_18,A. Traoré,14,0,0,0,0,0,0,0m,0.5,0
Attacking_18,A. Pereira,04,0,3.25,0,0,0,0,0m,0,0
Attacking_18,P. Bardsley,04,0,0,0,0,1,0,0m,0,1.25
Attacking_18,B. Gibson,00,0,0,0,0,0,0,0m,1,0
Attacking_18,A. Jahanbakhsh,10,0,0,0,0,0,0,0m,0.3,0
Attacking_18,M. Rojo,02,0,0,0,0,0,0,0m,1,0
Attacking_18,J. Schlupp,13,0,0,0,0,0,0,0m,0.38,0
Attacking_18,A. Yarmolenko,09,0,0,0,0,0,0,0m,0.33,0
Attacking_18,A. Maitland-Niles,01,0,0,0,0,0,0,0m,3,0
Attacking_18,I. Cavaleiro,09,0,0,0,0,0,0,0m,0.33,0
Attacking_18,L. Baines,04,0,0,0,0,0,0,0m,0.25,0
Attacking_18,S. Ward,03,0,0,0,0,0,0,0m,0.33,0
Attacking_18,D. Sturridge,09,0,0,0,0,0,0,0m,0.56,0
Attacking_18,D. Ward,08,0,0,0,0,0,0,0m,0.38,0
Attacking_18,Morata,14,0,0,0,0,0,0,0m,1.07,0
Attacking_18,T. Smith,04,0,0,0,0,0,0,0m,0,0.25
Attacking_18,M. Dembélé,10,0,0,0,0,0,0,0m,0,0.1
Attacking_18,S. Lichtsteiner,05,0,0,0,0,0,0,0m,0,0.2
Attacking_18,A. Valencia,04,0,0,0,0,0,0,0m,0,0.25
Attacking_18,A. Christensen,01,0,7,0,0,0,0,0m,0,0
Attacking_18,D. Simpson,02,0,0,0,0,0.5,0,0m,0,0
Attacking_18,S. Johansen,11,0,0,0,0,0.09,0,0m,0,0.09
Attacking_18,J. Bednarek,03,0,0,0,0,0.33,0,0m,0,0
Attacking_18,C. Fàbregas,04,0,0,0,0,0.5,0,0m,0,0.25
Attacking_18,H. Choudhury,00,0,0,0,0,0,0,0m,1,0
Attacking_18,V. Wanyama,04,0,0,0,0,0,0,0m,0.25,0
Attacking_18,G. Murray,16,0,0,0,0,0,0,0m,0.81,0
Attacking_18,R. Loftus-Cheek,06,0,0,0,0,0,0,0m,0.5,0
Attacking_18,M. Darmian,03,0,0,0,0,0,0,0m,0.33,0
Attacking_18,J. Izquierdo,09,0,0,0,0,0,0,0m,0.33,0
Attacking_18,K. Harris,08,0,0,0,0,0,0,0m,0.13,0
Attacking_18,C. Wood,16,0,0,0,0,0,0,0m,0.69,0
Attacking_18,N. Mendez-Laing,05,0,0,0,0,0,0,0m,0.4,0
Attacking_18,T. Cleverley,00,0,0,0,0,0,0,0m,1,0
Attacking_18,S. Longstaff,00,0,0,0,0,0,0,0m,0,1
Attacking_18,C. Söyüncü,04,0,0,0,0,0,0,0m,0,0.25
Attacking_18,A. Moreno,02,0,0,0,0,0,0,0m,0,0.5
Attacking_18,D. Rico,04,0,0,0,0,0,0,0m,0,0.75
